,Category,Section,Sub Section,Info,Link
0,Suscripción y primeros pasos,Primeros pasos,¿Dónde está disponible Max?,"¿Dónde está disponible Max?

Aquí es donde Max (y HBO Max) están disponibles actualmente:

Asia Pacífico
Europa
América Latina y el Caribe
Estados Unidos
Preguntas y respuestas sobre la disponibilidad de Max
¿Cuándo estará disponible Max en más regiones?
¿Puedo ver Max mientras viajo?
Solución de problemas

Si recibes el mensaje «This is uncharted territory» (Esto es territorio inexplorado), o «Aún no está disponible en tu región», es posible que tu dirección IP esté bloqueada o que esté identificando incorrectamente tu ubicación.

Si Max (o HBO Max) está disponible donde te encuentras, prueba estos pasos:

Paso 1: Desbloquea tu dirección IP
Paso 2: Reinicia tus dispositivos de red
Paso 3: Comunícate con tu proveedor de servicios de Internet
Paso 4: Contacta con nosotros",https://help.max.com/es-es/Answer/Detail/000002518
1,Suscripción y primeros pasos,Primeros pasos,¿Dónde está disponible Max?,"¿Dónde está disponible Max?

Aquí es donde Max (y HBO Max) están disponibles actualmente:

Asia Pacífico
Europa
América Latina y el Caribe
Estados Unidos
Preguntas y respuestas sobre la disponibilidad de Max
¿Cuándo estará disponible Max en más regiones?
¿Puedo ver Max mientras viajo?
Solución de problemas

Si recibes el mensaje «This is uncharted territory» (Esto es territorio inexplorado), o «Aún no está disponible en tu región», es posible que tu dirección IP esté bloqueada o que esté identificando incorrectamente tu ubicación.

Si Max (o HBO Max) está disponible donde te encuentras, prueba estos pasos:

Paso 1: Desbloquea tu dirección IP
Paso 2: Reinicia tus dispositivos de red
Paso 3: Comunícate con tu proveedor de servicios de Internet
Paso 4: Contacta con nosotros",https://help.max.com/es-es/Answer/Detail/000002518
2,Suscripción y primeros pasos,Primeros pasos,HBO Max ahora es Max,"HBO Max ahora es Max

HBO Max ahora es Max. Esto es lo que necesitas saber:

¿Cómo actualizo a la aplicación Max?
¿En qué se diferencia Max de HBO Max?
¿Cómo puedo obtener Max?
¿En qué dispositivos puedo hacer streaming?
¿Se transfieren mis perfiles y configuración de HBO Max?
¿Hay cambios en los precios?
¿Hay cambios en los planes?
Ver también
¿Dónde está disponible Max?
Dispositivos compatibles con Max
Planes, facturación y pagos",https://help.max.com/es-es/Answer/Detail/000002564
3,Suscripción y primeros pasos,Primeros pasos,¿Dónde está disponible Max?,"¿Dónde está disponible Max?

Aquí es donde Max (y HBO Max) están disponibles actualmente:

Asia Pacífico
Europa
América Latina y el Caribe
Estados Unidos
Preguntas y respuestas sobre la disponibilidad de Max
¿Cuándo estará disponible Max en más regiones?
¿Puedo ver Max mientras viajo?
Solución de problemas

Si recibes el mensaje «This is uncharted territory» (Esto es territorio inexplorado), o «Aún no está disponible en tu región», es posible que tu dirección IP esté bloqueada o que esté identificando incorrectamente tu ubicación.

Si Max (o HBO Max) está disponible donde te encuentras, prueba estos pasos:

Paso 1: Desbloquea tu dirección IP
Paso 2: Reinicia tus dispositivos de red
Paso 3: Comunícate con tu proveedor de servicios de Internet
Paso 4: Contacta con nosotros",https://help.max.com/es-es/Answer/Detail/000002518
4,Suscripción y primeros pasos,Primeros pasos,HBO Max ahora es Max,"HBO Max ahora es Max

HBO Max ahora es Max. Esto es lo que necesitas saber:

¿Cómo actualizo a la aplicación Max?
¿En qué se diferencia Max de HBO Max?
¿Cómo puedo obtener Max?
¿En qué dispositivos puedo hacer streaming?
¿Se transfieren mis perfiles y configuración de HBO Max?
¿Hay cambios en los precios?
¿Hay cambios en los planes?
Ver también
¿Dónde está disponible Max?
Dispositivos compatibles con Max
Planes, facturación y pagos",https://help.max.com/es-es/Answer/Detail/000002564
5,Suscripción y primeros pasos,Primeros pasos,¿Cómo me suscribo a Max?,"¿Cómo me suscribo a Max?
Lo que hay que saber
Averigua si ya tienes acceso a Max (por ejemplo, los suscriptores de HBO).
Puedes registrarte en tu dispositivo o a través de un proveedor externo.
Regístrate en tu dispositivo
 
Teléfono o tableta
Ordenador
Televisión

Selecciona cómo quieres registrarte:

Max.com
Dispositivo Android, Apple o Amazon
Regístrate a través de un proveedor

Los planes de suscripción varían según el proveedor. Para consultar la lista completa de proveedores, ve a Proveedores de Max.

Selecciona cómo quieres registrarte:

Proveedor de Internet, telefonía móvil o televisión
Prime Video Channels (en algunos países)
Solución de problemas
Mensaje «Comprueba el correo electrónico y la contraseña»
¿El código del televisor no funciona?
¿No puedes hacer streaming después de volver a suscribirte?
Recibo un error de pago
¿No puedes resolver el rompecabezas de Captcha?
Mensaje «No se puede utilizar ese correo electrónico»",https://help.max.com/es-es/Answer/Detail/000002544
6,Suscripción y primeros pasos,Primeros pasos,¿Dónde está disponible Max?,"¿Dónde está disponible Max?

Aquí es donde Max (y HBO Max) están disponibles actualmente:

Asia Pacífico
Europa
América Latina y el Caribe
Estados Unidos
Preguntas y respuestas sobre la disponibilidad de Max
¿Cuándo estará disponible Max en más regiones?
¿Puedo ver Max mientras viajo?
Solución de problemas

Si recibes el mensaje «This is uncharted territory» (Esto es territorio inexplorado), o «Aún no está disponible en tu región», es posible que tu dirección IP esté bloqueada o que esté identificando incorrectamente tu ubicación.

Si Max (o HBO Max) está disponible donde te encuentras, prueba estos pasos:

Paso 1: Desbloquea tu dirección IP
Paso 2: Reinicia tus dispositivos de red
Paso 3: Comunícate con tu proveedor de servicios de Internet
Paso 4: Contacta con nosotros",https://help.max.com/es-es/Answer/Detail/000002518
7,Suscripción y primeros pasos,Primeros pasos,HBO Max ahora es Max,"HBO Max ahora es Max

HBO Max ahora es Max. Esto es lo que necesitas saber:

¿Cómo actualizo a la aplicación Max?
¿En qué se diferencia Max de HBO Max?
¿Cómo puedo obtener Max?
¿En qué dispositivos puedo hacer streaming?
¿Se transfieren mis perfiles y configuración de HBO Max?
¿Hay cambios en los precios?
¿Hay cambios en los planes?
Ver también
¿Dónde está disponible Max?
Dispositivos compatibles con Max
Planes, facturación y pagos",https://help.max.com/es-es/Answer/Detail/000002564
8,Suscripción y primeros pasos,Primeros pasos,¿Cómo me suscribo a Max?,"¿Cómo me suscribo a Max?
Lo que hay que saber
Averigua si ya tienes acceso a Max (por ejemplo, los suscriptores de HBO).
Puedes registrarte en tu dispositivo o a través de un proveedor externo.
Regístrate en tu dispositivo
 
Teléfono o tableta
Ordenador
Televisión

Selecciona cómo quieres registrarte:

Max.com
Dispositivo Android, Apple o Amazon
Regístrate a través de un proveedor

Los planes de suscripción varían según el proveedor. Para consultar la lista completa de proveedores, ve a Proveedores de Max.

Selecciona cómo quieres registrarte:

Proveedor de Internet, telefonía móvil o televisión
Prime Video Channels (en algunos países)
Solución de problemas
Mensaje «Comprueba el correo electrónico y la contraseña»
¿El código del televisor no funciona?
¿No puedes hacer streaming después de volver a suscribirte?
Recibo un error de pago
¿No puedes resolver el rompecabezas de Captcha?
Mensaje «No se puede utilizar ese correo electrónico»",https://help.max.com/es-es/Answer/Detail/000002544
9,Suscripción y primeros pasos,Primeros pasos,Proveedores de Max,"Proveedores de Max

Aquí tienes una lista de proveedores que ofrecen Max:

Max.com
Tiendas de aplicaciones
Proveedores de Internet, telefonía móvil y televisión
Prime Video Channels (en algunos países)",https://help.max.com/es-es/Answer/Detail/000002545
