,Title,data
0,Cómo cambiar tu plan,"Puedes cambiar tu plan de Netflix en cualquier momento si sigues estos pasos:
Inicia sesión en tu cuenta de Netflix.
Selecciona Cambiar plan. Si no encuentras la opción para cambiar de plan, comunícate con nosotros.
NOTA:Si tu cuenta está suspendida, no se pueden realizar cambios de plan hasta que se resuelva la suspensión.
Selecciona el plan deseado y, luego, selecciona Continuar o Actualizar.
Selecciona Confirmar cambio o Confirmar.
El cambio de plan por uno de mayor precio se aplica de inmediato para que puedas disfrutar de todas las nuevas funciones. Como Netflix es un servicio prepago, tu fecha de facturación variará en función del saldo restante del último pago que hiciste.

El cambio a un plan de menor precio entrará en vigencia en la siguiente fecha de facturación. Puedes continuar usando las funciones del plan de mayor precio hasta la siguiente fecha de facturación. Puedes cancelar Netflix en cualquier momento."
1,Cómo cancelar Netflix,"Puedes cancelar tu cuenta de Netflix en cualquier momento.
NOTA: Esta es la única manera de cancelar tu cuenta y finalizar tu membresía. Al cerrar sesión en tu cuenta o eliminar la app de Netflix, no se cancelará tu cuenta.
Cuándo dejan de cobrarse los cargos de membresía
Si no ves la opción de cancelación
Cómo cancelar el servicio antes del final del periodo de facturación
Cómo cancelar el servicio cuando una cuenta está suspendida
Cómo cancelar el servicio si tienes una tarjeta de regalo o un saldo promocional
Pausar membresía


Cómo volver a suscribirse a Netflix
Cómo impedir que otros reinicien tu cuenta"
2,Cómo cambiar o restablecer tu contraseña,"Cambiar la contraseña
Si sabes tu contraseña y puedes iniciar sesión en Netflix, pero quieres cambiarla, visita la página Cambiar contraseña.
No puedes cambiar la contraseña si estás usando un perfil de niños. Cambia de perfil y, luego, cambia la contraseña.
Cuando elijas una contraseña:
Debe ser diferente de la que usas para otros sitios webs u otras apps
Que contenga un mínimo de 8 caracteres.
Que incluya una combinación de letras mayúsculas y minúsculas, números, y símbolos.
Que no se pueda adivinar fácilmente, como ""contraseña"", ""12345678"", ni información personal (nombre, cumpleaños, dirección).
Un administrador de contraseñas puede ayudarte a ordenar tus contraseñas exclusivas.

Si no puedes iniciar sesión o no recuerdas tu contraseña, consulta Cómo cambiar o restablecer tu contraseña.
Restablecer la contraseña
Si no puedes iniciar sesión o no recuerdas tu contraseña, deberás restablecerla por email o mensaje de texto (si agregaste un número de teléfono a tu cuenta).
Si no puedes recordar la dirección de email o el número de teléfono con los que te suscribiste, puedes utilizar tu información de pago para recuperar tu cuenta.

Restablecer contraseña por email

Restablecimiento de la contraseña por mensaje de texto (SMS)

Recuperar la información de tu cuenta a partir de la información de facturación"
3,Cómo actualizar la información de tu cuenta de Netflix,"Si quieres actualizar la información de tu cuenta de Netflix, sigue los pasos que se indican a continuación.
Dirección de email

Forma de pago
Contraseña
Número de teléfono
Perfiles
Cuando actualices la información de tu cuenta, te enviaremos un email para confirmar los cambios. Si tienes problemas para guardar la información que actualizaste, sigue estos pasos para la solución de problemas."
4,Uso compartido de tu cuenta de Netflix,"Cada cuenta de Netflix está pensada para compartirse entre personas que viven juntas en el mismo hogar.
Compartir Netflix con alguien que no vive contigo"
5,Cómo mantener segura tu cuenta,"Estas son nuestras recomendaciones principales para mantener seguras la cuenta y la información personal.
Usar una contraseña para Netflix que no uses para otros fines
Si usas el mismo email y la misma contraseña en más de un sitio web, app o servicio y un atacante logra vulnerar el acceso a uno de esos servicios, puede usar esos datos para apoderarse de cualquier otra cuenta que use esa combinación.
Requisitos para tu contraseña:
Debe ser diferente de la que usas para otros sitios webs u otras apps
Que contenga un mínimo de 8 caracteres.
Que incluya una combinación de letras mayúsculas y minúsculas, números, y símbolos.
Que no se pueda adivinar fácilmente, como ""contraseña"", ""12345678"", ni información personal (nombre, cumpleaños, dirección).
Un administrador de contraseñas puede ayudarte a ordenar tus contraseñas exclusivas.
Puedes actualizar la contraseña desde la página Cuenta o enviarte un email o un mensaje de texto para restablecer la contraseña.
Otras medidas que deberías tomar
Cerrar sesión en dispositivos sin usar o no reconocidos
Estar alerta a los mensajes y sitios web falsos (suplantación de identidad)
Denunciar la actividad fraudulenta o sospechosa
Agregar un número de teléfono para recuperación de contraseña
Mantener protegida tu computadora
Informarnos sobre los errores de seguridad


Si tienes preguntas sobre la privacidad de tu información, consulta nuestra Declaración de privacidad."
6,Facturación y pagos,"Tus cargos del servicio de Netflix
Puedes consultar el historial de facturación, el precio y los impuestos aplicables de tu membresía en la sección historial de pago de tu página Cuenta.
Ver tu plan y costo mensual
Comprende tu fecha de facturación
Actualiza tu información de pago
Imprime tu factura de Netflix
Resolver problemas de pago
Si hay un problema con tu forma de pago, aquí encontrarás algunas de las causas más comunes y sugerencias para resolver el inconveniente.
Se rechazó la forma de pago
No se acepta la forma de pago
Cuenta cancelada inesperadamente
Investigar cargos inesperados
El precio es más alto de lo esperado
Se te cobró antes de lo esperado
Varios cargos o cargos no autorizados"
7,Tarjetas de regalo de Netflix,"Por el momento, no se venden tarjetas de regalo de Netflix en tu país. Podrás usar una tarjeta de regalo de Netflix comprada en otro país siempre que se te facture Netflix en la misma moneda que figura en la tarjeta.
Para obtener más información, usa la lista de selección que aparece arriba para seleccionar el país en el que se compró la tarjeta de regalo.
NOTA:Para usar la tarjeta de regalo, deberás agregar una segunda forma de pago."
8,¿Cómo elimino las formas de pago de mi cuenta?,"Para quitar una forma de pago de tu cuenta, ve a la página Administrar información de pago y elimina la forma de pago deseada. Si aún no lo hiciste, es posible que debas iniciar sesión.
Si solo tienes registrada una forma de pago, no podrás quitarla sino hasta haber agregado una nueva forma de pago. Al eliminar una forma de pago de tu cuenta, Netflix ya no podrá cobrar el servicio a través de ella a menos que se vuelva a agregar a tu cuenta de Netflix.
Si tienes Netflix a través de un paquete de socio proveedor de servicio y deseas eliminar una forma de pago de respaldo, contáctanos para recibir ayuda.

El Servicio al Cliente no puede eliminar una forma de pago específica de tu cuenta. Sin embargo, podemos quitar todas las formas de pago si no realizas el pago a través de un socio o tarjetas de regalo. Una vez eliminada, puedes agregar una nueva forma de pago en tu cuenta antes de que finalice tu periodo de facturación actual si deseas continuar usando Netflix.
NOTA:Ciertas formas de pago mediante terceros no se pueden quitar de las cuentas.
Si tienes alguna pregunta sobre la eliminación o retención de datos, ponte en contacto con privacy@netflix.com."
9,Cómo encontrar la fecha de facturación,"Encuentra tu fecha de facturación
Inicia sesión en tu cuenta y ve a la página historial de pagos para ver tu plan de membresía e historial de facturación. Tu fecha de facturación corresponde al día en que te suscribiste a tu cuenta de Netflix.
Es probable que tu fecha de facturación pueda adelantarse un día, debido a las diferencias entre zonas horarias.
Si el día de tu fecha de facturación no existe en todos los meses (por ejemplo, el día 31), entonces la facturación tendrá lugar el último día de ese mes.
Si pagas Netflix por medio de un tercero, tu fecha de facturación de Netflix podría ser distinta de la fecha de facturación del proveedor.
Cambio de tu fecha de facturación
Para cambiar tu fecha de facturación, deberás cancelar tu cuenta y reiniciarla en la fecha en que deseas recibir tu facturación.
Si cancelas dentro de tu periodo de facturación actual, puedes continuar viendo Netflix hasta que termine ese periodo de facturación. Luego, puedes reiniciar tu cuenta en la fecha en que deseas recibir tu facturación.
Si tu cuenta está suspendida, la cuenta se cancela de inmediato y puedes reiniciarla en cualquier momento."
