Category,Sub Section,Info,Link
Configurar Prime Video,Instalar Prime Video en tus dispositivos,"Con la app de Prime Video podrás ver Prime Video. La app de Prime Video está disponible en una amplia gama de televisores, dispositivos Amazon, dispositivos móviles, reproductores Blu-Ray, consolas de juegos y dispositivos multimedia de reproducción en streaming.Abre la tienda de aplicaciones de tu dispositivo para descargar e instalar la aplicación de Prime Video. Abre la aplicación de Prime Video. Registra el dispositivo. Para ello, selecciona Regístrate en el sitio web de Amazon. Se te proporcionará un código para que lo introduzcas en un sitio web determinado.
En algunos dispositivos se muestra un código QR para escanearlo con tu dispositivo móvil, o bien tienen la opción Identificarse y comenzar a ver el contenido con la información de tu cuenta de Amazon.",https://www.primevideo.com/help?nodeId=GQDJBTL3CFLLKPBV
Configurar Prime Video,Descargar títulos de Prime Video,"Para descargar títulos de Prime Video y verlos sin conexión, necesitas una tablet Fire o la app de Prime Video para iOS, Android, macOS o Windows 10. Para descargar títulos de Prime Video, abre la aplicación de Prime Video en tu dispositivo y busca el título que quieres descargar. En la app de Prime Video para Android y Windows 10, podrás seleccionar dónde guardar los títulos descargados. No recomendamos que se guarden las descargas en unidades conectadas por USB. Temas de ayuda relacionados",https://www.primevideo.com/help?nodeId=GMF637NHNEF9D8GT
Configurar Prime Video,Ver Prime Video en Chromecast,"Para utilizar Chromecast de Google, necesitas la versión más reciente de la aplicación de Prime Video para iOS o Android. Temas de ayuda relacionadosDesde la aplicación de Prime Video, selecciona el icono Enviar . Selecciona el dispositivo Chromecast que deseas utilizar.
Tu dispositivo iOS o Android debe estar conectado a la misma red wifi que tu Chromecast. Asegúrate de que el dispositivo Chromecast esté actualizado. Asegúrate también de que la aplicación de Prime Video y el dispositivo iOS o Android estén actualizados. Si tienes un dispositivo Android, asegúrate de que Google Play Services también esté actualizado. La app de Prime Video en la tablet Fire no se puede conectar al dispositivo Chromecast. Selecciona el título que desees ver. Este título aparecerá en la pantalla a la que esté conectado el dispositivo Chromecast.
En dispositivos iOS, si quieres cambiar la configuración de los subtítulos en Chromecast, debes detener el envío de contenido a ese dispositivo. A continuación, selecciona Configuración > Accesibilidad > Subtítulos > Estilo y elige un estilo para los subtítulos. En dispositivos Android, mientras se está enviando un título, toca el menú de tres puntos en la pantalla. Selecciona Estilos de subtítulos y activa la opción Mostrar subtítulos. También puedes seleccionar las opciones Tamaño y estilo de subtítulos en ese menú.",https://www.primevideo.com/help?nodeId=GLK7BRU8S9LCUV8K
Configurar Prime Video,¿Cómo envío contenido de Prime Video al televisor?,"Envía Prime Video a tu dispositivo siguiendo los siguientes pasos. Para enviar contenido a un Chromecast o Android TV: Para enviar contenido a un Fire TV: Para enviar contenido al Echo Show 15 Para enviar contenido a otros dispositivos: Temas de ayuda relacionadosEnciende el televisor. Asegúrate de que tanto tu televisor como tu teléfono estén conectados a la misma red wifi. Para enviar contenido desde tu dispositivo iOS, ve a Configuración > Prime Video y activa “Red local”. Pulsa en el icono “Transmitir”. Encontrarás el botón en la esquina superior derecha de la pantalla. Selecciona el dispositivo Chromecast. Cuando te conectes, verás que aparece la pantalla Listo para transmitir en tu televisor.Enciende el televisor. Asegúrate de que tanto tu televisor como tu teléfono estén conectados a la misma red wifi. Confirma que hayas iniciado sesión en el Fire TV y en la aplicación móvil con la misma cuenta de Amazon. Pulsa en el icono “Transmitir”. Encontrarás el botón en la esquina superior derecha de la pantalla. Selecciona tu dispositivo Fire TV. Cuando te conectes, verás que aparece la pantalla Listo para transmitir en tu televisor.Asegúrate de que tanto tu Echo Show 15 como tu teléfono estén conectados a la misma red wifi. Confirma que hayas iniciado sesión en el Echo Show 15 y en la aplicación móvil con la misma cuenta de Amazon. Pulsa en el icono “Transmitir”. Encontrarás el botón en la esquina superior derecha de la app de Prime Video en tu dispositivo móvil (Android e iOS). Selecciona tu dispositivo Echo Show 15. Cuando te conectes, verás que aparece la pantalla Listo para transmitir en tu Echo Show 15.",https://www.primevideo.com/help?nodeId=GDSGFYXXPCSAGVTH
Configurar Prime Video,Cambiar el idioma de Prime Video,"Utiliza el sitio web PrimeVideo.com y la aplicación móvil de Prime Video en el idioma que desees. El sitio web PrimeVideo.com y la interfaz de usuario de la aplicación de Prime Video están disponibles en varios idiomas. Sigue las instrucciones que aparecen a continuación para seleccionar la configuración de idioma que prefieras. En el sitio web de PrimeVideo.com: En las aplicaciones para dispositivos móviles de Prime Video: En Smart TV y todos los demás dispositivos compatibles:Ve a la página Cuenta y configuración. Haz clic en la pestaña Idioma. Selecciona el idioma que prefieras.Abre la aplicación de Prime Video. Ve a Mi espacio y pulsa el icono de engranaje. Pulsa en Idioma y selecciona el idioma que prefieras.Abre la aplicación de Prime Video. Accede a la opción de configuración de Prime Video. En Idioma, selecciona el idioma que prefieras.",https://www.primevideo.com/help?nodeId=G7HQ2NP8MAZNKM37
Configurar Prime Video,¿Está Prime Video incluido con Amazon Prime?,"Solo por ser miembro de Amazon Prime obtienes un catálogo de títulos de Prime. Prime Video se encuentra disponible en más de 200 países y territorios mediante una suscripción válida a Prime Video o a Amazon Prime. Las ofertas de suscripción varían según la región; por lo tanto, durante el proceso de suscripción a Prime Video, es probable que se te pida que selecciones tu país de residencia con el fin de determinar las opciones de suscripción que tienes a tu disposición. Las suscripciones a Amazon Prime que pueden tener Prime Video son:",https://www.primevideo.com/help?nodeId=GD5REBNJD74BURF6
Configurar Prime Video,Personalizar las recomendaciones de Mi Prime Video,Mejora tus recomendaciones de contenido con los botones de Pulgar hacia arriba y Pulgar hacia abajo.,https://www.primevideo.com/help?nodeId=Tgonhtd9758pRyTOIh
Configurar Prime Video,Cambiar la suscripción Prime Video al lanzarse Amazon Prime,"Si Amazon Prime está disponible en tu país de residencia, convierte tu suscripción a Prime Video en una suscripción a Amazon Prime para recibir envíos gratuitos y rápidos en pedidos elegibles, así como para obtener acceso ilimitado a Prime Video. Si cumple los requisitos, tu suscripción a Prime Video se actualizará automáticamente a una suscripción a Amazon Prime en la próxima fecha de facturación. Si tu suscripción a Prime Video no se ha actualizado a una suscripción a Amazon Prime, visita el sitio web local de Amazon o primevideo.com para iniciar un periodo de prueba gratis. A menos que te hayas suscrito a Prime Video a través de un proveedor externo, tu suscripción actual a Prime Video se cancelará después de actualizar a la suscripción a Amazon Prime.",https://www.primevideo.com/help?nodeId=GEXZ9DJXE7KF2E8V
Configurar Prime Video,¿Qué es Prime Video Mobile Edition?,"Prime Video Mobile Edition es un plan para un único dispositivo móvil que solo está disponible en determinados países a través de socios externos y en la India directamente desde Amazon. Los clientes con una suscripción a Prime Video Mobile Edition solo pueden reproducir contenido de Prime Video en definición estándar a través de la aplicación de Prime Video en Android o iOS. Para ver contenido en una selección más amplia de dispositivos, o en una definición más alta, hay que actualizar a una suscripción normal a Prime Video o a Amazon Prime (si está disponible). Los clientes de la India también pueden pasarse a una suscripción Prime Lite .",https://www.primevideo.com/help?nodeId=G46D9B5G2EAGM65W
Configurar Prime Video,Disfrutar de los beneficios de Prime Gaming,"Para obtener Prime Gaming se necesita una suscripción a Prime Video o Amazon Prime. Si vives en uno de los siguientes países, necesitas una suscripción a Amazon Prime para obtener los beneficios de Prime Gaming: Fuera de estos países, necesitas ser miembro de Prime Video para recibir los beneficios de Prime Gaming. Para vincular tus cuentas y activar los beneficios de Prime Gaming:",https://www.primevideo.com/help?nodeId=GG9X94MFPSJH65DS
